#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size,Open Mid Price,High Mid Price,Low Mid Price,Close Mid Price
NQc1,NQH25,Market Price,2025-03-19T00:00:50.000000000-05,Intraday 5Sec,,,,,,,19529.5,19529.75,19529.25,19529.25,19,19530.25,19530.25,19530,19530.25,15,1,2,1,2,1,2,1,2,19529.875,19530,19529.625,19529.75
NQc1,NQH25,Market Price,2025-03-19T00:00:55.000000000-05,Intraday 5Sec,19529,19529,19529,19529,1,1,19529.25,19529.25,19528.25,19528.5,23,19530.25,19530.25,19528.75,19529.25,29,1,3,1,1,2,4,1,1,19529.75,19529.75,19528.5,19528.875
NQc1,NQH25,Market Price,2025-03-19T00:01:00.000000000-05,Intraday 5Sec,,,,,,,19528.5,19528.5,19527.25,19527.25,30,19529,19529.5,19527.75,19528,46,1,3,1,2,1,3,1,1,19528.75,19529,19527.5,19527.625
NQc1,NQH25,Market Price,2025-03-19T00:01:05.000000000-05,Intraday 5Sec,19527.25,19527.25,19525.5,19525.75,6,5,19527.25,19527.25,19524.5,19524.5,45,19528,19528,19525.25,19525.5,64,2,4,1,1,2,3,1,2,19527.625,19527.625,19524.875,19525
NQc1,NQH25,Market Price,2025-03-19T00:01:10.000000000-05,Intraday 5Sec,,,,,,,19524.5,19524.75,19524,19524.5,15,19525.5,19525.5,19524.75,19525.25,24,2,3,1,1,2,3,1,1,19525,19525.125,19524.375,19524.875
NQc1,NQH25,Market Price,2025-03-19T00:01:15.000000000-05,Intraday 5Sec,19525.25,19525.25,19525.25,19525.25,1,1,19524.5,19526,19524.5,19526,27,19525.25,19527,19525.25,19526.5,21,2,3,1,1,1,3,1,1,19524.875,19526.5,19524.875,19526.25
NQc1,NQH25,Market Price,2025-03-19T00:01:20.000000000-05,Intraday 5Sec,,,,,,,19526,19526.25,19525.75,19526.25,24,19527,19527.25,19526.75,19527,18,1,2,1,2,2,3,1,1,19526.5,19526.75,19526.25,19526.625
NQc1,NQH25,Market Price,2025-03-19T00:01:25.000000000-05,Intraday 5Sec,19526.5,19526.5,19526.5,19526.5,1,1,19526.25,19526.5,19525.75,19526.5,23,19527,19527.5,19526.5,19527.25,20,1,2,1,1,1,3,1,1,19526.625,19527,19526.125,19526.875
NQc1,NQH25,Market Price,2025-03-19T00:01:30.000000000-05,Intraday 5Sec,,,,,,,19526.5,19526.75,19526,19526.75,14,19527.5,19527.5,19527.25,19527.5,15,1,2,1,1,3,3,1,1,19527,19527.125,19526.625,19527.125
NQc1,NQH25,Market Price,2025-03-19T00:01:35.000000000-05,Intraday 5Sec,,,,,,,19526.75,19526.75,19526.5,19526.75,7,19527.75,19528,19527.25,19527.75,17,1,2,1,1,1,3,1,1,19527.25,19527.375,19526.875,19527.25
NQc1,NQH25,Market Price,2025-03-19T00:01:40.000000000-05,Intraday 5Sec,,,,,1,,19526.75,19527,19526,19526.25,33,19527.5,19528,19527.25,19527.25,31,1,2,1,1,1,3,1,2,19527.125,19527.5,19526.625,19526.75
NQc1,NQH25,Market Price,2025-03-19T00:01:45.000000000-05,Intraday 5Sec,,,,,,,19526.25,19526.25,19526,19526.25,6,19527.25,19527.5,19527,19527.25,25,1,2,1,1,1,3,1,1,19526.75,19526.875,19526.5,19526.75
NQc1,NQH25,Market Price,2025-03-19T00:01:50.000000000-05,Intraday 5Sec,,,,,,,19526.25,19526.75,19526,19526.5,16,19527.25,19527.75,19526.75,19527.25,27,1,3,1,2,2,3,1,1,19526.75,19527.25,19526.375,19526.875
NQc1,NQH25,Market Price,2025-03-19T00:01:55.000000000-05,Intraday 5Sec,19527.25,19527.25,19527.25,19527.25,1,1,19526.75,19527.25,19526.75,19527,11,19527.25,19528,19527.25,19527.75,10,1,2,1,1,1,2,1,1,19527,19527.625,19527,19527.375
NQc1,NQH25,Market Price,2025-03-19T00:02:00.000000000-05,Intraday 5Sec,19526.75,19526.75,19526.75,19526.75,3,1,19526.75,19526.75,19526,19526.25,20,19527.75,19527.75,19527,19527.25,17,2,3,1,2,1,3,1,2,19527.25,19527.25,19526.5,19526.75
NQc1,NQH25,Market Price,2025-03-19T00:02:05.000000000-05,Intraday 5Sec,19526.25,19526.25,19526.25,19526.25,1,1,19526.25,19526.5,19526,19526,32,19527.25,19527.25,19526.75,19526.75,7,1,3,1,1,2,2,1,1,19526.75,19526.875,19526.375,19526.375
NQc1,NQH25,Market Price,2025-03-19T00:02:10.000000000-05,Intraday 5Sec,,,,,,,19526,19526,19524.5,19525,26,19526.75,19526.75,19525.5,19525.75,19,1,4,1,1,2,2,1,2,19526.375,19526.375,19525,19525.375
NQc1,NQH25,Market Price,2025-03-19T00:02:15.000000000-05,Intraday 5Sec,,,,,,,19524.75,19524.75,19524.5,19524.75,16,19525.75,19525.75,19525,19525.5,20,2,4,1,1,2,2,1,2,19525.25,19525.25,19524.75,19525.125
NQc1,NQH25,Market Price,2025-03-19T00:02:20.000000000-05,Intraday 5Sec,19524.5,19524.5,19524.25,19524.25,2,2,19524.75,19524.75,19524,19524,12,19525.5,19525.5,19524.5,19524.75,30,1,3,1,1,3,4,1,2,19525.125,19525.125,19524.25,19524.375
NQc1,NQH25,Market Price,2025-03-19T00:02:25.000000000-05,Intraday 5Sec,19524.25,19524.25,19524.25,19524.25,1,1,19524,19524.75,19524,19524.5,17,19524.75,19525.5,19524.5,19525.5,46,1,2,1,1,1,3,1,2,19524.375,19525.125,19524.25,19525
NQc1,NQH25,Market Price,2025-03-19T00:02:30.000000000-05,Intraday 5Sec,19524,19524,19523,19523,5,5,19524.5,19524.5,19522.5,19523.25,47,19525.25,19525.25,19523,19524.25,75,1,4,1,2,1,4,1,2,19524.875,19524.875,19522.75,19523.75
NQc1,NQH25,Market Price,2025-03-19T00:02:35.000000000-05,Intraday 5Sec,,,,,,,19523.25,19523.5,19522.5,19523.25,16,19524,19524.25,19523.75,19524.25,18,2,2,1,2,1,2,1,2,19523.625,19523.875,19523.125,19523.75
NQc1,NQH25,Market Price,2025-03-19T00:02:40.000000000-05,Intraday 5Sec,,,,,,,19523.25,19523.25,19522.5,19522.75,6,19524.25,19524.25,19523.75,19524,12,1,3,1,2,2,2,1,2,19523.75,19523.75,19523.125,19523.375
NQc1,NQH25,Market Price,2025-03-19T00:02:45.000000000-05,Intraday 5Sec,,,,,,,19522.75,19523.5,19522.5,19522.5,36,19523.75,19524.25,19523.25,19523.5,31,2,3,1,1,1,3,1,2,19523.25,19523.875,19522.875,19523
NQc1,NQH25,Market Price,2025-03-19T00:02:50.000000000-05,Intraday 5Sec,19522.5,19522.5,19521.75,19521.75,6,4,19522.5,19522.5,19521.25,19521.25,34,19523.25,19523.25,19522.25,19522.25,33,1,5,1,4,1,4,1,2,19522.875,19522.875,19521.75,19521.75
NQc1,NQH25,Market Price,2025-03-19T00:02:55.000000000-05,Intraday 5Sec,19521.75,19521.75,19521.75,19521.75,1,1,19521.25,19522,19521.25,19521.25,22,19522.25,19523,19521.75,19521.75,22,4,4,1,3,1,3,1,1,19521.75,19522.5,19521.5,19521.5
NQc1,NQH25,Market Price,2025-03-19T00:03:00.000000000-05,Intraday 5Sec,19521.25,19521.5,19520,19520,8,6,19521,19521.75,19520,19520.25,75,19521.75,19523,19520.75,19521.25,107,1,4,1,2,1,4,1,1,19521.375,19522.375,19520.375,19520.75
NQc1,NQH25,Market Price,2025-03-19T00:03:05.000000000-05,Intraday 5Sec,,,,,,,19520.25,19521.25,19520.25,19521.25,122,19521.5,19522.5,19521.5,19521.75,31,2,3,1,1,2,3,1,1,19520.875,19521.875,19520.875,19521.5
NQc1,NQH25,Market Price,2025-03-19T00:03:10.000000000-05,Intraday 5Sec,19521.75,19521.75,19521.75,19521.75,1,1,19521,19521.5,19521,19521.5,11,19521.75,19522.5,19521.75,19522.5,4,1,2,1,1,1,2,1,1,19521.375,19522,19521.375,19522
NQc1,NQH25,Market Price,2025-03-19T00:03:15.000000000-05,Intraday 5Sec,19522.75,19522.75,19522.75,19522.75,1,1,19521.5,19523.25,19521.5,19522.25,76,19522.75,19524.25,19522.25,19523,62,1,3,1,1,1,3,1,1,19522.125,19523.75,19521.875,19522.625
NQc1,NQH25,Market Price,2025-03-19T00:03:20.000000000-05,Intraday 5Sec,19521.5,19522,19521.5,19522,2,2,19522.25,19522.25,19521,19521.25,39,19522.75,19522.75,19521.75,19522,39,1,3,1,1,1,4,1,1,19522.5,19522.5,19521.375,19521.625
NQc1,NQH25,Market Price,2025-03-19T00:03:25.000000000-05,Intraday 5Sec,,,,,1,,19521.25,19521.25,19521,19521,19,19522.25,19522.5,19521.75,19522,18,1,2,1,2,3,3,1,1,19521.75,19521.875,19521.375,19521.5
NQc1,NQH25,Market Price,2025-03-19T00:03:30.000000000-05,Intraday 5Sec,,,,,,,19521,19521,19521,19521,2,19522,19522,19522,19522,0,1,2,1,2,1,1,1,1,19521.5,19521.5,19521.5,19521.5
NQc1,NQH25,Market Price,2025-03-19T00:03:35.000000000-05,Intraday 5Sec,,,,,,,19521,19521.25,19521,19521.25,5,19521.75,19522.25,19521.5,19522.25,15,2,2,1,2,1,2,1,1,19521.375,19521.75,19521.25,19521.75
NQc1,NQH25,Market Price,2025-03-19T00:03:40.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.5,19521.25,19521.5,12,19522.25,19523,19522,19522.5,36,1,2,1,2,1,3,1,1,19521.875,19522.25,19521.625,19522
NQc1,NQH25,Market Price,2025-03-19T00:03:45.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.5,19521.5,19521.5,4,19522.75,19523,19522.25,19523,20,2,3,2,2,1,4,1,3,19522.125,19522.25,19521.875,19522.25
NQc1,NQH25,Market Price,2025-03-19T00:03:50.000000000-05,Intraday 5Sec,,,,,,,19521.5,19522,19521.5,19521.5,23,19522.75,19523.25,19522.25,19522.75,34,2,4,1,2,1,3,1,2,19522.125,19522.625,19521.875,19522.125
NQc1,NQH25,Market Price,2025-03-19T00:03:55.000000000-05,Intraday 5Sec,,,,,,,19521.75,19522,19521.5,19521.75,28,19522.75,19523,19522.25,19522.75,27,1,2,1,1,2,4,1,1,19522.25,19522.5,19521.875,19522.25
NQc1,NQH25,Market Price,2025-03-19T00:04:00.000000000-05,Intraday 5Sec,,,,,,,19521.75,19521.75,19521.5,19521.75,3,19523,19523,19522.5,19522.75,5,1,2,1,1,2,2,1,2,19522.375,19522.375,19522,19522.25
NQc1,NQH25,Market Price,2025-03-19T00:04:05.000000000-05,Intraday 5Sec,19522.25,19522.25,19522.25,19522.25,1,1,19521.75,19521.75,19521.5,19521.5,18,19522.5,19522.75,19522,19522.25,20,1,2,1,1,1,3,1,1,19522.125,19522.25,19521.75,19521.875
NQc1,NQH25,Market Price,2025-03-19T00:04:10.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.5,19521.5,19521.5,4,19522.5,19522.5,19522,19522.25,16,1,2,1,1,1,2,1,1,19522,19522,19521.75,19521.875
NQc1,NQH25,Market Price,2025-03-19T00:04:15.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.5,19521.5,19521.5,3,19522.5,19522.5,19522.25,19522.5,11,1,2,1,2,1,2,1,2,19522,19522,19521.875,19522
NQc1,NQH25,Market Price,2025-03-19T00:04:20.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.75,19521.5,19521.5,12,19522.5,19523,19522.25,19522.25,15,2,3,1,1,1,3,1,2,19522,19522.375,19521.875,19521.875
NQc1,NQH25,Market Price,2025-03-19T00:04:25.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.75,19521.5,19521.75,5,19522,19522.5,19522,19522.5,13,1,2,1,1,1,2,1,1,19521.75,19522.125,19521.75,19522.125
NQc1,NQH25,Market Price,2025-03-19T00:04:30.000000000-05,Intraday 5Sec,,,,,1,,19521.5,19521.75,19521.5,19521.75,17,19522.5,19522.5,19522,19522.5,9,1,2,1,1,1,2,1,1,19522,19522.125,19521.75,19522.125
NQc1,NQH25,Market Price,2025-03-19T00:04:35.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.75,19521.5,19521.5,23,19522.5,19522.5,19522.5,19522.5,4,1,3,1,2,1,2,1,1,19522,19522.125,19522,19522
NQc1,NQH25,Market Price,2025-03-19T00:04:40.000000000-05,Intraday 5Sec,19522.5,19522.75,19522.5,19522.75,2,2,19521.5,19522.5,19521.5,19522.25,37,19522.5,19523,19522.5,19523,8,2,3,1,2,2,2,1,1,19522,19522.75,19522,19522.625
NQc1,NQH25,Market Price,2025-03-19T00:04:45.000000000-05,Intraday 5Sec,19522.75,19522.75,19522.75,19522.75,1,1,19522.5,19522.75,19522.25,19522.5,16,19523,19523.5,19523,19523.5,8,1,2,1,1,1,2,1,2,19522.75,19523.125,19522.625,19523
NQc1,NQH25,Market Price,2025-03-19T00:04:50.000000000-05,Intraday 5Sec,,,,,,,19522.25,19522.25,19522.25,19522.25,5,19523.5,19523.5,19523.25,19523.25,16,1,2,1,1,2,2,1,1,19522.875,19522.875,19522.75,19522.75
NQc1,NQH25,Market Price,2025-03-19T00:04:55.000000000-05,Intraday 5Sec,19521.5,19522.25,19521.25,19521.25,3,3,19522.5,19522.5,19520.5,19521,49,19523.25,19523.75,19521.75,19522,50,1,3,1,2,1,3,1,1,19522.875,19523.125,19521.125,19521.5
NQc1,NQH25,Market Price,2025-03-19T00:05:00.000000000-05,Intraday 5Sec,,,,,,,19521.25,19521.25,19520,19520,16,19522,19522.25,19520.5,19520.5,22,1,3,1,2,1,3,1,1,19521.625,19521.75,19520.25,19520.25
NQc1,NQH25,Market Price,2025-03-19T00:05:05.000000000-05,Intraday 5Sec,19520,19520.25,19517.25,19520.25,31,20,19519.5,19519.75,19515.75,19518.75,123,19520.5,19520.75,19517.25,19519.75,154,2,7,1,1,1,4,1,1,19520,19520.125,19516.75,19519.25
NQc1,NQH25,Market Price,2025-03-19T00:05:10.000000000-05,Intraday 5Sec,19520.25,19520.25,19520.25,19520.25,1,1,19518.75,19521,19518.5,19520.75,50,19520,19521.75,19520,19521.75,60,1,3,1,2,2,3,1,2,19519.375,19521.375,19519.25,19521.25
NQc1,NQH25,Market Price,2025-03-19T00:05:15.000000000-05,Intraday 5Sec,,,,,,,19520.75,19521.5,19520.25,19521.25,38,19521.5,19522.5,19521.5,19522,31,2,3,1,2,1,3,1,1,19521.125,19522,19520.875,19521.625
NQc1,NQH25,Market Price,2025-03-19T00:05:20.000000000-05,Intraday 5Sec,,,,,,,19521.25,19521.75,19520.75,19521.5,34,19522,19522.75,19521.5,19522.5,26,1,3,1,2,1,2,1,2,19521.625,19522.25,19521.125,19522
NQc1,NQH25,Market Price,2025-03-19T00:05:25.000000000-05,Intraday 5Sec,,,,,,,19521.5,19522,19521.5,19521.75,8,19522.25,19523,19522.25,19522.5,10,2,2,1,1,1,3,1,1,19521.875,19522.5,19521.875,19522.125
NQc1,NQH25,Market Price,2025-03-19T00:05:30.000000000-05,Intraday 5Sec,19522.5,19522.5,19522.5,19522.5,2,1,19521.75,19522,19521.75,19521.75,14,19522.5,19522.75,19522.5,19522.75,11,2,2,1,2,1,3,1,1,19522.125,19522.375,19522.125,19522.25
NQc1,NQH25,Market Price,2025-03-19T00:05:35.000000000-05,Intraday 5Sec,,,,,,,19521.75,19521.75,19521.5,19521.75,8,19522.75,19522.75,19522.25,19522.75,9,2,2,1,2,2,2,1,2,19522.25,19522.25,19521.875,19522.25
NQc1,NQH25,Market Price,2025-03-19T00:05:40.000000000-05,Intraday 5Sec,,,,,,,19521.75,19522.75,19521.25,19521.5,31,19522.5,19523.5,19522.25,19522.25,29,2,3,1,1,1,3,1,1,19522.125,19523.125,19521.875,19521.875
NQc1,NQH25,Market Price,2025-03-19T00:05:45.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.75,19521,19521.5,28,19522,19522.75,19521.75,19522,37,1,3,1,1,1,3,1,1,19521.75,19522.25,19521.375,19521.75
NQc1,NQH25,Market Price,2025-03-19T00:05:50.000000000-05,Intraday 5Sec,,,,,,,19521.25,19521.5,19520.75,19521,25,19522,19522,19521.5,19521.75,11,2,2,1,1,1,2,1,1,19521.625,19521.75,19521.125,19521.375
NQc1,NQH25,Market Price,2025-03-19T00:05:55.000000000-05,Intraday 5Sec,19522,19522,19522,19522,1,1,19521,19521.75,19520.75,19521.25,23,19522,19522.5,19522,19522,17,1,3,1,2,2,2,1,1,19521.5,19522.125,19521.375,19521.625
NQc1,NQH25,Market Price,2025-03-19T00:06:00.000000000-05,Intraday 5Sec,,,,,,,19521.25,19522,19521.25,19521.75,33,19522,19522.75,19522,19522.5,22,1,2,1,2,1,2,1,1,19521.625,19522.375,19521.625,19522.125
NQc1,NQH25,Market Price,2025-03-19T00:06:05.000000000-05,Intraday 5Sec,,,,,,,19521.75,19521.75,19520.5,19520.5,62,19522.5,19522.75,19521.25,19521.5,33,1,3,1,2,1,2,1,2,19522.125,19522.25,19520.875,19521
NQc1,NQH25,Market Price,2025-03-19T00:06:10.000000000-05,Intraday 5Sec,,,,,,,19520.5,19521,19520.25,19520.75,18,19521.25,19522,19521,19521.75,37,2,2,1,1,1,4,1,1,19520.875,19521.5,19520.625,19521.25
NQc1,NQH25,Market Price,2025-03-19T00:06:15.000000000-05,Intraday 5Sec,19521,19521.5,19521,19521.5,7,5,19520.75,19521,19520,19520.5,27,19521.5,19522.25,19521,19521.75,17,1,3,1,1,1,2,1,1,19521.125,19521.625,19520.5,19521.125
NQc1,NQH25,Market Price,2025-03-19T00:06:20.000000000-05,Intraday 5Sec,,,,,,,19520.5,19520.5,19519,19519,21,19521.75,19521.75,19519.75,19519.75,25,2,2,1,2,1,3,1,1,19521.125,19521.125,19519.375,19519.375
NQc1,NQH25,Market Price,2025-03-19T00:06:25.000000000-05,Intraday 5Sec,,,,,,,19519,19519.25,19518.5,19519.25,22,19519.75,19520.25,19519.5,19520.25,16,1,3,1,2,1,2,1,2,19519.375,19519.75,19519,19519.75
NQc1,NQH25,Market Price,2025-03-19T00:06:30.000000000-05,Intraday 5Sec,,,,,,,19519.5,19521,19519.5,19521,26,19520.25,19522,19520.25,19522,27,1,2,1,1,2,3,1,2,19519.875,19521.5,19519.875,19521.5
NQc1,NQH25,Market Price,2025-03-19T00:06:35.000000000-05,Intraday 5Sec,19521.5,19521.5,19521.5,19521.5,1,1,19521,19521.25,19520.75,19521.25,12,19521.5,19522,19521.5,19522,4,1,2,1,1,1,2,1,2,19521.25,19521.625,19521.25,19521.625
NQc1,NQH25,Market Price,2025-03-19T00:06:40.000000000-05,Intraday 5Sec,19522,19522,19521,19521,3,3,19521.5,19521.75,19520.75,19521,28,19522,19522,19521.75,19522,17,1,2,1,2,2,3,1,2,19521.75,19521.875,19521.25,19521.5
NQc1,NQH25,Market Price,2025-03-19T00:06:45.000000000-05,Intraday 5Sec,,,,,,,19521,19521.25,19521,19521,12,19522,19522,19522,19522,7,2,2,1,1,1,3,1,3,19521.5,19521.625,19521.5,19521.5
NQc1,NQH25,Market Price,2025-03-19T00:06:50.000000000-05,Intraday 5Sec,19522,19522,19522,19522,1,1,19521,19522,19521,19522,26,19522,19522.75,19522,19522.75,7,2,2,1,1,3,3,1,2,19521.5,19522.375,19521.5,19522.375
NQc1,NQH25,Market Price,2025-03-19T00:06:55.000000000-05,Intraday 5Sec,19521.75,19521.75,19521.75,19521.75,2,1,19521.75,19521.75,19521,19521.5,18,19522.75,19522.75,19522,19522.5,24,2,2,1,1,2,4,1,2,19522.25,19522.25,19521.5,19522
NQc1,NQH25,Market Price,2025-03-19T00:07:00.000000000-05,Intraday 5Sec,,,,,,,19521.5,19522,19521.25,19521.75,10,19522.25,19522.75,19522.25,19522.75,14,1,2,1,2,1,2,1,2,19521.875,19522.375,19521.75,19522.25
NQc1,NQH25,Market Price,2025-03-19T00:07:05.000000000-05,Intraday 5Sec,,,,,,,19521.75,19521.75,19521.25,19521.5,3,19522.5,19522.5,19522.5,19522.5,5,2,2,1,1,1,2,1,1,19522.125,19522.125,19521.875,19522
NQc1,NQH25,Market Price,2025-03-19T00:07:10.000000000-05,Intraday 5Sec,,,,,,,19521.5,19522,19521.25,19521.75,20,19522.5,19522.75,19522.25,19522.5,16,1,3,1,1,2,2,1,1,19522,19522.375,19521.75,19522.125
NQc1,NQH25,Market Price,2025-03-19T00:07:15.000000000-05,Intraday 5Sec,,,,,,,19521.5,19522,19521.5,19521.75,15,19522.5,19522.75,19522.25,19522.5,7,1,3,1,3,1,2,1,1,19522,19522.375,19521.875,19522.125
NQc1,NQH25,Market Price,2025-03-19T00:07:20.000000000-05,Intraday 5Sec,19521.75,19521.75,19521.75,19521.75,2,1,19521.75,19521.75,19520.75,19521.25,28,19522.5,19522.5,19521.75,19522.25,25,2,3,1,2,1,3,1,2,19522.125,19522.125,19521.375,19521.75
NQc1,NQH25,Market Price,2025-03-19T00:07:25.000000000-05,Intraday 5Sec,,,,,,,19521.5,19521.5,19520.5,19520.5,19,19522.25,19522.25,19521.5,19521.75,21,1,2,1,1,2,3,1,2,19521.875,19521.875,19521,19521.125
NQc1,NQH25,Market Price,2025-03-19T00:07:30.000000000-05,Intraday 5Sec,19522.5,19524,19522.5,19523.75,5,4,19520.5,19523.75,19520.5,19523.5,171,19521.75,19524.75,19521.75,19524.5,105,1,3,1,1,1,4,1,1,19521.125,19524.25,19521.125,19524
NQc1,NQH25,Market Price,2025-03-19T00:07:35.000000000-05,Intraday 5Sec,19524.75,19526,19524.75,19526,4,4,19523.5,19525.75,19523.25,19525.5,62,19524.75,19526.5,19524,19526.25,63,1,3,1,1,1,4,1,1,19524.125,19526.125,19523.625,19525.875
NQc1,NQH25,Market Price,2025-03-19T00:07:40.000000000-05,Intraday 5Sec,19526.5,19526.5,19526.5,19526.5,1,1,19525.25,19527,19525.25,19526.5,78,19526.25,19527.75,19526,19527.5,56,2,3,1,2,1,3,1,1,19525.75,19527.375,19525.625,19527
NQc1,NQH25,Market Price,2025-03-19T00:07:45.000000000-05,Intraday 5Sec,,,,,,,19526.5,19526.75,19526,19526.75,24,19527.5,19527.75,19527,19527.5,22,2,2,1,1,2,3,1,1,19527,19527.25,19526.5,19527.125
NQc1,NQH25,Market Price,2025-03-19T00:07:50.000000000-05,Intraday 5Sec,,,,,,,19526.75,19527,19526.5,19527,14,19527.75,19528,19527.5,19527.5,13,1,2,1,1,2,5,1,2,19527.25,19527.5,19527,19527.25
NQc1,NQH25,Market Price,2025-03-19T00:07:55.000000000-05,Intraday 5Sec,19527,19527,19526.75,19526.75,4,3,19527,19527,19526,19526.75,15,19527.5,19527.75,19527,19527.25,9,1,2,1,1,1,3,1,1,19527.25,19527.375,19526.5,19527
NQc1,NQH25,Market Price,2025-03-19T00:08:00.000000000-05,Intraday 5Sec,,,,,,,19526.75,19526.75,19523.75,19524,45,19527.5,19527.5,19524.75,19524.75,42,1,3,1,1,1,3,1,1,19527.125,19527.125,19524.25,19524.375
NQc1,NQH25,Market Price,2025-03-19T00:08:05.000000000-05,Intraday 5Sec,,,,,,,19524,19524.25,19523.75,19524,14,19525,19525.25,19524.75,19525,23,1,2,1,2,1,4,1,1,19524.5,19524.75,19524.25,19524.5
NQc1,NQH25,Market Price,2025-03-19T00:08:10.000000000-05,Intraday 5Sec,,,,,,,19524,19524.25,19523.5,19524.25,33,19525,19525,19524.25,19525,29,2,2,1,1,2,3,1,1,19524.5,19524.625,19523.875,19524.625
NQc1,NQH25,Market Price,2025-03-19T00:08:15.000000000-05,Intraday 5Sec,,,,,,,19524,19524.25,19524,19524.25,3,19525,19525,19525,19525,2,1,2,1,1,1,2,1,1,19524.5,19524.625,19524.5,19524.625
NQc1,NQH25,Market Price,2025-03-19T00:08:20.000000000-05,Intraday 5Sec,,,,,,,19524,19524.25,19524,19524,6,19525,19525,19524.75,19524.75,2,1,2,1,1,1,2,1,1,19524.5,19524.625,19524.375,19524.375
NQc1,NQH25,Market Price,2025-03-19T00:08:25.000000000-05,Intraday 5Sec,19524,19524,19524,19524,1,1,19523.75,19524,19523.25,19523.5,45,19524.75,19525,19524,19524.5,55,1,3,1,2,1,3,1,1,19524.25,19524.5,19523.625,19524
NQc1,NQH25,Market Price,2025-03-19T00:08:30.000000000-05,Intraday 5Sec,19525.25,19525.25,19525.25,19525.25,1,1,19523.75,19525.25,19523.75,19524.75,26,19524.5,19526,19524.5,19525.5,22,1,3,1,2,1,5,1,1,19524.125,19525.625,19524.125,19525.125
